Bezeichung,Kosten €,Durchmesser mm,Min. Biegeradius mm,Mechanische Zugfestigkeit N,Betriebstemperatur °C,Widerstand Ω,Spannungsfestigkeit kV
Kabel 7313,8.2,1.7,13.2,60,56,27,2.6
Kabel 7314,5.4,2.3,22.5,50,47,14,4.3
Kabel 7315,6.6,2.1,14,70,137,26,2.5
Kabel 7316,1.5,1.9,22.2,70,97,26,4.9
Kabel 7317,10,1.7,18.3,100,-20,26,5.8
Kabel 7318,9.5,2.7,13.4,100,147,17,4.9
Kabel 7319,1.3,1.9,11.8,60,142,15,2.8
Kabel 7320,6.8,2.2,24,70,10,19,4.8
Kabel 7321,5.4,1.9,23.1,60,-5,20,3.2
Kabel 7322,2.8,2.7,10,90,63,19,2.8
Kabel 7323,3,2.1,18.6,100,25,19,3.7
Kabel 7324,1.4,1.9,19.9,100,94,15,2.2
Kabel 7325,1.1,2.5,8.3,70,67,14,4.4
Kabel 7326,6.4,2.7,12.2,80,136,14,4
Kabel 7327,9.1,2.1,10.7,90,29,22,4.1
Kabel 7328,7.1,2,26.2,60,26,26,3.2
Kabel 7329,5.3,2.4,9.9,60,105,25,2.3
Kabel 7330,6.4,2.7,24.6,70,61,21,3.3
Kabel 7331,1.3,2.5,27.4,90,63,26,3.4
Kabel 7332,4,2.6,16.4,50,2,14,3.9
Kabel 7333,3.5,2.7,26.3,50,-16,23,5.4
Kabel 7334,4.3,2.4,21.6,70,87,27,3.4
Kabel 7335,8.7,2.4,26.1,50,50,13,3.1
Kabel 7336,3.9,2.1,21.9,80,43,24,3.3
Kabel 7337,6.2,2.4,13.5,100,-1,19,4.5
Kabel 7338,6.9,2.2,17.1,80,22,24,3.2
Kabel 7339,8.3,1.7,13,50,116,25,2.8
Kabel 7340,7.2,2,8.8,60,89,21,5.4
Kabel 7341,2.8,1.9,13.9,80,-19,17,4.8
Kabel 7342,3.6,2.5,22.5,90,42,23,3.8
Kabel 7343,8.3,2.3,19.2,100,107,19,5.5
Kabel 7344,3.1,2.6,15.6,80,-30,18,5
Kabel 7345,8.5,2.1,20,60,109,20,4.5
Kabel 7346,9.6,2.4,20.7,100,51,19,5.5
Kabel 7347,2.7,2.7,21,60,74,15,4.5
Kabel 7348,2.4,2.8,20,100,25,16,4.5
Kabel 7349,2.4,2.3,15.1,80,36,20,3.7
Kabel 7350,3.8,2.3,20.9,50,75,24,3.1
Kabel 7351,7.2,1.6,27.7,60,131,14,2.4
Kabel 7352,5.8,2.4,24.4,50,97,14,4.1
Kabel 7353,5.8,2.3,17.2,80,15,18,3.5
Kabel 7354,8.9,2.1,16.8,100,13,15,4.6
Kabel 7355,1.8,2,14.5,90,148,23,5.6
Kabel 7356,8.6,2.7,18.5,70,88,25,5.6
Kabel 7357,3.9,2.2,8.9,70,-4,14,5.9
Kabel 7358,6.1,2.6,12.9,100,-38,20,5.7
Kabel 7359,7.8,2.6,24.4,70,-7,15,2.4
Kabel 7360,2.8,2.4,16.8,60,139,22,4.8
Kabel 7361,9.3,2.3,19.4,100,-19,18,3.5
Kabel 7362,6.6,1.9,19.7,90,16,24,3
Kabel 7363,2.8,2.1,23.3,60,59,13,4.2
Kabel 7364,3.9,2.7,26.2,90,123,22,5.7
Kabel 7365,4.1,2.8,24.9,70,108,18,3.8
Kabel 7366,1.6,2.3,22.4,80,24,17,5.8
Kabel 7367,1.7,2.4,24.2,90,100,23,5.2
Kabel 7368,7,2.1,22.8,90,63,27,4.3
Kabel 7369,9.1,2.1,9.7,60,44,18,2.2
Kabel 7370,9.9,2.2,16.5,100,112,24,3.7
Kabel 7371,4.3,2.7,16.4,90,79,25,2.1
Kabel 7372,5.1,1.9,18.6,90,124,17,5
Kabel 7373,9.8,1.8,20.2,50,131,18,6
Kabel 7374,4,2.7,9.5,60,119,15,5.7
Kabel 7375,6.9,1.9,14.2,90,134,20,3.6
Kabel 7376,8.5,1.7,18.3,90,18,20,4.1
Kabel 7377,5,2.3,18.7,60,138,18,4.5
Kabel 7378,6.8,2.7,27.4,60,55,24,4.6
Kabel 7379,7.2,2.2,16.6,60,25,26,3
Kabel 7380,2.9,1.9,16,60,110,25,3.2
Kabel 7381,1,2.5,15.3,100,2,15,2.2
Kabel 7382,1.2,2.4,25.4,80,86,18,3
Kabel 7383,7,2.1,22.4,50,4,17,2.5
Kabel 7384,3.1,1.9,19,80,-31,19,3.3
Kabel 7385,5.9,1.8,12.7,90,6,15,4.6
Kabel 7386,9.9,2.2,9.1,90,26,26,4
Kabel 7387,9.3,1.9,18.3,70,39,21,4.3
Kabel 7388,2.7,2.1,9.2,80,25,18,3.5
Kabel 7389,3.3,2,27.3,80,78,20,2.1
Kabel 7390,6.4,2.7,13.5,80,12,16,3.3
Kabel 7391,3,2.1,11.9,90,59,19,5.6
Kabel 7392,2.2,2.8,21.4,60,-12,17,3.6
Kabel 7393,3.9,2.5,9.2,80,68,15,4.4
Kabel 7394,4.1,1.7,16.6,90,81,23,4.6
Kabel 7395,5.7,2.2,22.5,80,135,13,2.2
Kabel 7396,2.5,2,16.4,80,16,22,3.4
Kabel 7397,3.8,1.7,25,60,53,27,4.4
Kabel 7398,1.9,2.2,18.1,70,42,22,5.2
Kabel 7399,5,2.7,22.9,90,35,25,5.6
Kabel 7400,8.4,2.1,25.1,60,12,16,2.3
Kabel 7401,7.8,2.2,24.1,70,102,14,2.5
Kabel 7402,2.7,1.7,24,70,-14,23,2.8
Kabel 7403,7.4,2.8,11.3,90,127,26,2.5
Kabel 7404,9.9,1.9,8.8,70,129,23,3.7
Kabel 7405,6.6,1.9,25.1,80,53,19,2.6
Kabel 7406,5,2.1,20.7,70,123,26,4.1
Kabel 7407,3.2,2.7,19.9,80,91,22,5.2
Kabel 7408,6.8,2.5,15.3,80,67,22,2.6
Kabel 7409,1.7,2.7,19,90,88,24,2.2
Kabel 7410,5.9,2,25.2,60,56,18,4.2
Kabel 7411,5.9,2.1,28,70,99,16,3.5
Kabel 7412,8.8,2.2,25.1,100,-24,22,2.6
Kabel 7413,7.3,1.7,11,70,19,26,3.5
Kabel 7414,5.1,1.8,26.3,70,27,23,3.5
Kabel 7415,5.8,2.7,23,80,20,20,3.4
Kabel 7416,7.2,2.6,14.5,90,-7,21,3.1
Kabel 7417,1.3,2.4,11.4,80,53,22,2.8
Kabel 7418,3.2,1.7,24.4,90,19,22,4.1
Kabel 7419,1.7,2.3,20.6,70,115,23,3.9
Kabel 7420,2.4,2.1,20.9,70,17,23,3.4
Kabel 7421,4.6,1.9,19.2,90,48,15,5.3
Kabel 7422,9.9,2,20.9,60,35,24,4.7
Kabel 7423,4.2,2.5,10.3,70,-35,19,5.3
Kabel 7424,5.2,1.6,13.2,60,43,21,4.1
Kabel 7425,3.8,2.7,24.7,50,20,17,2
Kabel 7426,4.6,2.2,22.5,50,72,23,5.5
Kabel 7427,1.1,1.8,9.4,70,76,20,5.3
Kabel 7428,1.3,2.7,24.9,60,146,26,4.9
Kabel 7429,1.6,1.9,15.3,70,-30,14,5.5
Kabel 7430,9,1.6,9.2,60,95,17,4
Kabel 7431,3,2,24.4,90,114,22,5.8
Kabel 7432,6.7,1.7,13.7,50,3,19,3.1
Kabel 7433,6,2.5,24.2,50,100,25,2.1
Kabel 7434,1.2,1.7,14.7,100,108,21,4.9
Kabel 7435,9.2,2.3,12.3,100,97,17,3.4
Kabel 7436,8.5,2.6,23.6,90,2,23,5.7
Kabel 7437,9,2,25.4,80,7,24,3.1
Kabel 7438,9,2.4,26.3,50,20,26,5
Kabel 7439,1.7,1.9,24.9,90,-18,25,5.1
Kabel 7440,9,2.6,16.6,70,12,17,4
Kabel 7441,7.7,2.2,11.6,100,101,20,3.2
Kabel 7442,3.2,2.4,23.9,80,141,26,2.5
Kabel 7443,10,1.6,16.8,80,124,21,5.5
Kabel 7444,4.5,2.7,15.5,70,-33,20,5.5
Kabel 7445,6,2.1,24,100,119,23,5.9
Kabel 7446,8.1,2.1,25.9,90,141,17,4.8
Kabel 7447,8.1,2.5,14,60,15,18,2.4
Kabel 7448,4.1,1.9,9.3,70,90,22,5.7
Kabel 7449,8.1,2.4,10.6,50,138,15,3.2
Kabel 7450,9,2.5,11.3,80,94,21,2.6
Kabel 7451,3.4,2.3,8.2,80,-37,14,3.6
Kabel 7452,7.1,2.2,23.7,50,-17,15,5.9
Kabel 7453,4.5,1.7,9.7,60,90,14,3.3
Kabel 7454,9.4,2.1,14.6,80,34,18,3.6
Kabel 7455,2.2,2.7,8.7,90,15,15,2.1
Kabel 7456,1.4,2.6,9.3,80,73,26,4.4
Kabel 7457,1.5,1.8,14.4,80,26,17,4.6
Kabel 7458,2.4,2.7,18.4,70,69,21,5.1
Kabel 7459,8,2.1,23.9,70,65,22,4.8
Kabel 7460,6.6,2.2,12.6,60,70,19,4.7
Kabel 7461,1.3,2,25.6,70,45,22,5.8
Kabel 7462,7.8,1.7,24.7,80,-29,14,4.8
Kabel 7463,3.1,2.3,13.4,50,67,20,5.1
Kabel 7464,7.7,2.5,8.6,70,-30,14,3.7
Kabel 7465,7.2,2.3,8.8,70,80,23,5.6
Kabel 7466,3.7,1.6,21.3,100,12,19,3.4
Kabel 7467,5.9,2.4,26.6,70,-16,18,4.5
Kabel 7468,2.1,2.7,22,90,40,15,4.4
Kabel 7469,8.6,2.6,27,100,62,26,3.2
Kabel 7470,3.1,2.1,15.2,60,79,25,2.6
Kabel 7471,4.9,2.7,24.5,70,119,22,5.9
Kabel 7472,3.3,2.5,19.3,60,-10,17,5.1
Kabel 7473,1.7,1.9,10.4,60,147,19,5.8
Kabel 7474,8.3,2.4,17.8,60,92,15,4.8
Kabel 7475,6.2,2.2,26.9,70,25,22,2.9
Kabel 7476,7,2.2,27.3,100,60,21,5.6
Kabel 7477,2.7,2.4,14.1,70,31,25,2.9
Kabel 7478,3.4,1.7,25.7,50,135,16,5.3
Kabel 7479,6.5,1.9,12.6,70,-26,15,2.2
Kabel 7480,2.4,1.8,15.3,90,136,20,3
Kabel 7481,3,2.5,15.8,100,127,21,5.5
Kabel 7482,6.6,2.7,27,70,-2,13,2.8
Kabel 7483,7.6,1.7,22.3,100,89,17,3.7
Kabel 7484,4.3,2.1,8.9,70,9,26,5.8
Kabel 7485,4.4,2.5,13.3,60,127,23,3.8
Kabel 7486,6.5,1.8,10.5,90,114,17,4
Kabel 7487,7.3,1.9,10.2,90,28,14,4.1
Kabel 7488,6.1,2.7,19.7,70,40,27,3.1
Kabel 7489,4.7,2.2,20.1,80,124,13,5.3
Kabel 7490,8.9,2.7,22.7,100,115,17,2
Kabel 7491,10,2.2,23.2,50,132,20,3.1
Kabel 7492,9.9,2.6,21.5,80,30,14,5.3
Kabel 7493,1,2.8,27.3,70,144,25,5.9
Kabel 7494,9,2.6,13.2,70,-26,23,4.4
Kabel 7495,1.8,2.8,15.2,70,61,19,3.2
Kabel 7496,1.8,2,20.4,80,132,13,3.5
Kabel 7497,4.5,2.7,14.1,90,126,19,3.8
Kabel 7498,10,1.6,25.3,90,145,22,4.9
Kabel 7499,1.2,2.7,16.9,50,20,14,2.3
Kabel 7500,3.9,2.3,23.3,90,26,14,5
Kabel 7501,2.3,1.9,20.8,70,62,14,2.4
Kabel 7502,6.8,2.1,23.3,80,-20,25,3.1
Kabel 7503,7.9,2.5,22.3,70,143,19,4.9
Kabel 7504,4.2,2.7,14.6,80,38,14,2
Kabel 7505,8.4,2,21.8,50,30,25,3.6
Kabel 7506,1.1,2.3,13.5,60,42,19,5.3
Kabel 7507,3.9,1.8,16.6,80,76,18,5.7
Kabel 7508,5.4,1.8,17.8,90,50,15,2.3
Kabel 7509,8.9,2.3,12.8,60,83,16,3.5
Kabel 7510,4.6,2.1,19.3,80,33,25,2.1
Kabel 7511,2.9,2.2,12.3,80,76,18,2.8
Kabel 7512,6,1.7,11.9,90,75,15,2.2
Kabel 7513,4.6,1.9,11.9,60,71,17,3
Kabel 7514,2.9,1.8,9.2,60,13,23,5
Kabel 7515,8.3,2.2,22.4,60,-33,15,3.9
Kabel 7516,9.6,2.8,27.7,100,-35,23,2.1
Kabel 7517,8.7,2.3,18.5,90,-36,20,4.5
Kabel 7518,6.9,2.7,22.4,90,-17,22,3.3
Kabel 7519,8.9,2.3,8.8,80,127,13,4.4
Kabel 7520,1.9,2.8,9,60,-26,23,2.5
Kabel 7521,6.1,1.9,26.4,90,-25,22,4.1
Kabel 7522,6.1,2,26.3,70,102,20,4.6
Kabel 7523,5.9,2.5,9.9,80,-28,15,2.8
Kabel 7524,5.6,1.8,13.9,90,76,20,5.1
Kabel 7525,3.2,2.2,12.8,60,12,18,4.9
Kabel 7526,5.7,2.8,27.8,60,43,14,5.4
Kabel 7527,5.6,1.8,14.4,90,60,20,5.7
Kabel 7528,5.8,2,26.2,100,86,25,5.5
Kabel 7529,3.3,2.4,25.9,70,-19,15,2.2
Kabel 7530,6.6,1.7,27.6,60,108,21,3.8
Kabel 7531,5.7,2.7,19.5,60,-9,20,4.6
Kabel 7532,1.3,2.7,16.7,90,89,22,2.2
Kabel 7533,1.2,2.3,9.9,50,124,17,3.5
Kabel 7534,5.6,2.3,20.9,80,82,19,6
Kabel 7535,4.5,2.5,19.4,90,-32,16,4.6
Kabel 7536,3.2,2.7,14.1,80,112,24,3.5
Kabel 7537,5.2,1.9,16,90,-5,18,4.6
Kabel 7538,8.7,1.7,14.8,100,33,15,5
Kabel 7539,9.2,1.9,18.2,80,92,25,5.7
Kabel 7540,8.5,2,24.1,70,-3,17,2.2
Kabel 7541,5.3,2.4,13.3,100,32,21,3.5
Kabel 7542,3.1,2.4,24.9,80,44,22,2.5
Kabel 7543,6.4,2.7,15.1,90,2,21,2.5
Kabel 7544,5.6,1.7,26.4,80,116,20,4
Kabel 7545,8.4,1.9,11.7,60,78,16,5.6
Kabel 7546,4.2,1.8,25.5,50,-36,25,3.4
Kabel 7547,3.5,2.4,21.3,60,143,23,5.7
Kabel 7548,3.8,2.3,19.1,90,-22,16,4.6
Kabel 7549,7.7,2.2,9.8,80,-19,13,5
Kabel 7550,5.3,1.7,26.8,100,135,16,5.7
Kabel 7551,3.5,2.1,25.6,100,40,19,5.6
Kabel 7552,5.4,1.8,20.1,90,28,27,2.7
Kabel 7553,6.9,2.3,21.4,90,118,16,5.8
Kabel 7554,9.8,2.3,14.2,50,-37,15,5.1
Kabel 7555,8.4,2.6,17.1,80,-12,14,3.6
Kabel 7556,8.2,1.9,10.2,100,101,21,2.5
Kabel 7557,6.2,2,27.6,90,11,14,3.9
Kabel 7558,7.5,2.5,19,60,-4,23,4.7
Kabel 7559,2.4,2.3,20.6,70,56,25,3
Kabel 7560,7,2,21.1,70,5,20,5.9
Kabel 7561,7.5,2.1,16.5,80,42,16,5.4
Kabel 7562,6.8,1.7,11.5,80,-35,13,3.7
Kabel 7563,7.7,1.8,13,80,-29,26,4.1
Kabel 7564,9.9,2.4,14.5,60,-31,14,3
Kabel 7565,5.9,2.3,12.9,70,-13,23,2.8
Kabel 7566,10,2.5,16.8,90,-31,25,5.5
Kabel 7567,9.8,2.2,16.2,90,-21,18,4.7
Kabel 7568,7.8,1.9,21.5,60,24,19,5.3
Kabel 7569,5.8,2.1,9.5,60,105,17,5.9
Kabel 7570,3.7,1.7,13.9,90,146,13,5.7
Kabel 7571,2.1,2.7,27.3,50,15,21,5.4
Kabel 7572,2.2,2.3,19.7,80,113,19,2.9
Kabel 7573,6.8,2.3,9.1,100,147,15,4.2
Kabel 7574,8.8,2.7,26.8,70,119,15,4.8
Kabel 7575,9.5,2.3,15.3,70,-35,18,4.8
Kabel 7576,9,1.8,22.2,80,68,27,3.4
Kabel 7577,7.9,2.6,27,70,106,25,3.3
Kabel 7578,2.9,2.1,27.2,60,15,22,4
Kabel 7579,1.2,1.9,12.4,80,81,24,3.1
Kabel 7580,3.2,1.6,23.3,70,124,19,2.5
Kabel 7581,7.1,2.2,21.1,80,-39,27,5.4
Kabel 7582,1.4,2.6,10.7,90,49,24,2.1
Kabel 7583,5.5,1.6,27.3,80,24,24,2.4
Kabel 7584,1.9,1.7,23.7,90,92,16,5.6
Kabel 7585,1.8,1.7,10.3,70,141,26,2.1
Kabel 7586,4.4,1.9,22.3,100,95,15,5.9
Kabel 7587,3.4,2.6,8.7,70,124,19,4.5
Kabel 7588,2.8,2.8,24.6,90,45,14,5.3
Kabel 7589,7.6,1.8,8.2,80,-21,18,2.7
Kabel 7590,3.2,2.2,9.8,80,2,19,2.9
Kabel 7591,9.5,2.4,23,70,-29,19,3.8
Kabel 7592,5.1,1.8,16,90,103,23,3.9
Kabel 7593,3,1.8,13.5,60,58,23,2.9
Kabel 7594,8,1.7,16.3,70,129,14,2.3
Kabel 7595,7.8,1.9,22.8,90,-36,19,5.5
Kabel 7596,1.7,2.5,22.6,70,128,24,2.5
Kabel 7597,5.4,2,27.4,100,110,25,3
Kabel 7598,8.2,2.2,24.7,80,126,18,2.1
Kabel 7599,7.8,2.2,11.7,90,74,27,3.7
Kabel 7600,5.9,1.8,8.6,60,0,25,2.7
Kabel 7601,8.1,1.6,21.4,70,103,21,5.2
Kabel 7602,8.3,2.6,13.9,60,22,23,2.8
Kabel 7603,3.4,2,22.6,70,136,14,2.2
Kabel 7604,3,2,17.4,100,118,21,2.4
Kabel 7605,7.6,2,23,70,46,19,5.4
Kabel 7606,7.2,1.7,27.7,80,64,18,2.4
Kabel 7607,5.3,2.2,12.8,50,62,20,4.2
Kabel 7608,6,2.5,14.4,60,-17,19,2.5
Kabel 7609,4.1,2.7,17.4,100,68,20,2.7
Kabel 7610,8.3,2.4,13.3,80,68,24,4.5
Kabel 7611,9.6,2.6,8.7,60,-22,14,4.6
Kabel 7612,5.8,2.2,18.2,50,26,17,4.2
Kabel 7613,8.5,2.4,9.9,70,90,21,3.3
Kabel 7614,3.5,2.7,22.1,90,44,13,3.7
Kabel 7615,7.7,2.6,25,90,59,20,5.7
Kabel 7616,2.1,2,28,70,70,18,4.9
Kabel 7617,9.3,2.2,11,100,-4,14,4.7
Kabel 7618,4.4,2.2,11.5,90,8,15,5.8
Kabel 7619,9,2.4,26.3,90,85,15,2.5
Kabel 7620,2.2,2.2,15.8,100,36,19,4.3
Kabel 7621,7.8,2.1,12.3,80,117,21,4.9
Kabel 7622,9,2.6,15.9,70,81,15,2.5
Kabel 7623,6.4,2.4,27.7,80,-4,21,3.8
Kabel 7624,7.4,2,19.2,60,22,21,4.1
Kabel 7625,9.1,1.9,23.4,70,6,18,3.1
Kabel 7626,6.9,1.8,16.5,70,115,22,3.2
Kabel 7627,8.9,2.8,23.1,90,56,14,5.1
Kabel 7628,5.4,2.8,27.1,60,124,17,3.9
Kabel 7629,1.9,2.4,13.7,80,-15,23,4.5
Kabel 7630,3.1,1.7,16.5,70,115,22,4.6
Kabel 7631,7.3,2,11,90,70,14,2.5
Kabel 7632,4,2.6,25.1,60,113,22,2.6
Kabel 7633,6.5,1.7,17.3,50,0,23,4.2
Kabel 7634,5.4,2,10.1,80,-35,23,5.4
Kabel 7635,8.8,2,15.9,90,105,22,2.4
Kabel 7636,6.3,2.7,19.6,100,2,23,5.9
Kabel 7637,6.1,1.8,10.9,70,29,14,5.8
Kabel 7638,7.9,2,20.4,70,54,16,3.4
Kabel 7639,4.7,2.1,21.4,50,53,18,5.6
Kabel 7640,3.3,2,18.9,80,13,16,4.5
Kabel 7641,7,2.2,22.4,70,17,25,5.7
Kabel 7642,6.8,2.1,16.3,60,101,24,5.5
Kabel 7643,9.9,2.7,18.5,90,-23,15,2.4
Kabel 7644,5,2.5,9,80,69,23,4.9
Kabel 7645,4.8,2.7,24.7,90,39,18,4.2
Kabel 7646,9.6,2.7,13.6,80,50,18,3.5
Kabel 7647,9.4,2.1,24.8,70,-20,21,5.1
Kabel 7648,2.2,2.6,26.7,70,137,21,3.7
Kabel 7649,5.6,2.4,25.4,100,22,14,2
Kabel 7650,7.3,2.2,14.8,70,109,21,3
Kabel 7651,5.4,2.5,24.7,70,-36,16,2.2
Kabel 7652,4.5,2.2,17.7,90,126,17,2.1
Kabel 7653,2.5,1.9,13.3,100,13,17,5.4
Kabel 7654,7.2,1.7,24.3,80,40,14,4.6
Kabel 7655,8.7,2.2,11.6,70,128,16,5.3
Kabel 7656,5.8,1.6,15.8,60,-30,19,5.3
Kabel 7657,8.9,1.7,10.9,80,-23,21,3.6
Kabel 7658,4.2,1.9,22.7,90,147,17,5.2
Kabel 7659,3,2.6,11.7,80,-13,13,3.4
Kabel 7660,1.3,2,18.7,90,-17,21,5.5
Kabel 7661,8.1,2,23.7,70,7,21,3.4
Kabel 7662,9.8,2,24.5,80,9,26,3.9
Kabel 7663,5.7,2.7,24.2,70,104,20,5.3
Kabel 7664,4.5,1.7,27.4,70,-22,14,3.9
Kabel 7665,5.3,2.8,11.9,60,56,13,3.8
Kabel 7666,2.5,2.1,18.2,90,82,21,4.1
Kabel 7667,6.7,2.1,23.3,90,94,17,5
Kabel 7668,1.5,2,18.7,80,16,15,5.9
Kabel 7669,9,2.7,13.4,60,120,16,2.6
Kabel 7670,7,1.9,26.4,80,79,24,2.2
Kabel 7671,3.3,2.1,21.6,90,125,24,3.8
Kabel 7672,2,2,10.3,60,81,17,3
Kabel 7673,5.8,2.7,22.1,70,24,19,2.8
Kabel 7674,3.8,2.1,19,70,10,14,5.3
Kabel 7675,5.2,2.4,14.8,100,27,26,5.9
Kabel 7676,4.9,1.7,11.9,50,140,18,5.8
Kabel 7677,7.2,2.3,12.7,70,-17,26,3.1
Kabel 7678,3.4,1.9,21.7,60,-17,14,4
Kabel 7679,2.9,2,15.7,100,98,25,2.2
Kabel 7680,5.2,2.3,27.4,70,-9,15,5.3
Kabel 7681,3.6,2,20,80,119,17,3.5
Kabel 7682,2.9,1.9,17.4,50,99,20,5.3
Kabel 7683,7.4,2.7,17.4,100,150,23,2.4
Kabel 7684,1.2,2.4,22.4,80,68,14,4.7
Kabel 7685,9.7,2.2,9,70,87,15,4.9
Kabel 7686,6.2,1.7,9.1,70,150,27,2.5
Kabel 7687,3.4,2.7,16.4,70,139,16,5.4
Kabel 7688,1.9,1.9,8.7,90,30,16,4.4
Kabel 7689,4.2,1.8,10.6,90,4,21,2.7
Kabel 7690,4.2,2.3,11.1,80,101,21,5.2
Kabel 7691,8.6,2,26.3,90,6,27,3.9
Kabel 7692,4,2.5,27.2,70,97,15,3.4
Kabel 7693,6.3,1.7,11.5,60,6,16,5.7
Kabel 7694,6.2,1.9,21.2,70,3,15,5.3
Kabel 7695,6.4,1.6,10.7,50,-9,14,4.5
Kabel 7696,8.6,2.2,18.6,60,11,22,2.2
Kabel 7697,7,1.7,13.5,50,-7,16,5.6
Kabel 7698,9.5,1.9,8.2,90,84,23,3.5
Kabel 7699,2.4,2.4,24.6,70,102,24,5.8
Kabel 7700,8.3,2.3,18.2,80,53,18,2.4
Kabel 7701,5.9,2.2,22,100,99,19,2.8
Kabel 7702,6.8,2.3,22.4,80,-28,14,5.3
Kabel 7703,5.5,1.7,26,60,-33,20,5.5
Kabel 7704,7.9,2.5,27.1,90,100,18,2.2
Kabel 7705,6.3,2.5,20.2,80,89,17,5.6
Kabel 7706,8.1,2.5,10.3,60,144,17,2.8
Kabel 7707,5.5,2.2,13.1,50,-5,22,3.4
Kabel 7708,9.1,1.6,27.8,60,-16,24,2.8
Kabel 7709,4,2,8.9,90,17,22,4.7
Kabel 7710,9.7,2,8.8,70,90,21,2.4
Kabel 7711,3.4,2.1,11.8,60,116,18,4.7
Kabel 7712,3.1,2.7,26.3,70,71,22,2.8
Kabel 7713,5.4,1.7,9.6,90,-11,26,3.8
Kabel 7714,5.1,1.9,25.2,70,3,17,2.8
Kabel 7715,9.1,2.2,27.7,70,62,25,4.7
Kabel 7716,2,2.2,12,80,25,22,5.2
Kabel 7717,3.8,1.7,8.9,80,-5,15,4
Kabel 7718,6.2,1.7,15.1,50,8,26,2.7
Kabel 7719,7.5,1.9,26.1,70,133,20,4.3
Kabel 7720,2.8,2.1,23.8,80,42,20,4.3
Kabel 7721,9.6,2.8,15.5,70,138,16,3.9
Kabel 7722,9.8,2.6,20.9,60,-30,25,4.7
Kabel 7723,3.9,1.6,10,100,50,17,5.4
Kabel 7724,2.6,2.2,10.4,90,26,26,3.1
Kabel 7725,4.7,2.1,8.6,100,-35,18,3.8
Kabel 7726,8.1,2.6,21.1,50,5,23,2.5
Kabel 7727,5.1,2.4,11.9,90,-14,17,5
Kabel 7728,6.3,2.2,17.5,80,140,17,3.6
Kabel 7729,1.2,2.8,19.8,80,85,26,3
Kabel 7730,8.3,1.9,22.9,80,-11,13,3.8
Kabel 7731,9.2,1.7,19.1,60,2,16,3.6
Kabel 7732,1.3,1.7,27.8,60,74,23,3.7
Kabel 7733,8.3,2.4,21.4,60,146,17,2.6
Kabel 7734,4.2,2.2,8.2,90,101,20,5.3
Kabel 7735,4.8,2.1,27,90,51,17,3
Kabel 7736,9.3,1.8,22.7,80,15,18,2.3
Kabel 7737,5.9,2.3,13.4,60,131,15,2.9
Kabel 7738,1.1,1.9,18.8,90,10,24,2.1
Kabel 7739,9.7,1.9,15.7,100,78,20,3.8
Kabel 7740,3.7,2.4,10.7,80,88,16,5.7
Kabel 7741,5,1.8,25.9,70,147,13,3.3
Kabel 7742,4,2.6,8.4,90,96,15,4.9
Kabel 7743,6.1,2.1,12.9,70,18,25,5.6
Kabel 7744,3.5,2.3,16.6,60,82,17,5.5
Kabel 7745,2.4,2.3,14.1,50,95,17,4.8
Kabel 7746,9.7,2.4,27.3,70,-0,25,4.8
Kabel 7747,3.6,2,21.9,80,21,22,2.3
Kabel 7748,8.1,2.5,19.8,100,-26,25,5.5
Kabel 7749,6.2,2.3,25.5,100,5,17,5.9
Kabel 7750,4.5,2.4,17.3,60,21,24,3.2
Kabel 7751,9.5,1.7,27.5,90,36,25,4.8
Kabel 7752,8.2,2.5,20.7,60,119,26,5.3
Kabel 7753,3.6,2.2,23.8,60,51,19,3.4
Kabel 7754,7.3,1.6,11.4,50,142,18,2.5
Kabel 7755,4,2.6,27.4,90,106,26,5.5
Kabel 7756,9.1,2.2,19.9,100,49,16,3.1
Kabel 7757,6.3,1.9,11.7,100,11,19,3.5
Kabel 7758,2.3,2.7,8.5,80,141,14,5.4
Kabel 7759,7.5,2.7,26.1,70,94,18,4.9
Kabel 7760,3.3,2.4,10.8,80,-5,15,2.4
Kabel 7761,9.8,1.9,10.3,50,26,15,2.7
Kabel 7762,8.5,2.4,21.1,90,126,24,5.8
Kabel 7763,7,2.4,19.5,50,35,24,2.4
Kabel 7764,8,2.3,12.9,80,-19,20,5.9
Kabel 7765,6.1,1.8,20,70,35,19,2.9
Kabel 7766,4.9,2.6,10.1,90,64,21,5.4
Kabel 7767,2.6,2.5,15,80,67,21,2.8
Kabel 7768,3.3,2.6,11.2,90,57,16,4.2
Kabel 7769,7.5,2.3,11.1,90,91,25,5.2
Kabel 7770,1.7,2.1,15.9,100,22,22,2.7
Kabel 7771,6.8,2.7,27.6,90,139,17,4.5
Kabel 7772,2,2.3,16.1,70,77,20,5.2
Kabel 7773,5.9,2.2,14.1,50,-36,16,3.8
Kabel 7774,5.3,2.7,21.1,60,144,25,2.2
Kabel 7775,6.3,2,12.6,50,140,17,5.2
Kabel 7776,6.4,2.1,25.5,70,17,26,2.8
Kabel 7777,8,2.2,9.6,60,19,19,4.8
Kabel 7778,5.9,2.3,13,100,129,23,5.3
Kabel 7779,1.1,2.6,20,60,74,24,4
Kabel 7780,2.6,2.1,9.9,90,108,25,2.5
Kabel 7781,8.4,2.3,10.7,60,-11,18,5.4
Kabel 7782,4.4,2.1,19.5,60,104,16,4.6
Kabel 7783,7.7,2.1,21.5,100,51,15,2.3
Kabel 7784,7.4,1.7,14.1,70,76,14,2.9
